date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Oct%202025%2018:50:12%20GMT	https://tkogmission.org/	C:/My%20Web%20Sites/tkog/tkogmission.org/index.html	(from )
13:50:13	498650/498650	---MCZ	200	added ('OK')	text/html	etag:W/%2204b5bc545d4d255649a795bb0112d9a7%22	https://www.tkogmission.org/handouts	C:/My%20Web%20Sites/tkog/www.tkogmission.org/handouts.html	(from )
13:50:13	565/565	---M--	200	added ('OK')	text/plain	etag:W/%22235-P9S/Q9gWspzp4NBST+Td3HdcLVU%22	https://tkogmission.org/robots.txt		(from )
13:50:14	328/328	---MCZ	200	added ('OK')	text/plain	etag:W/%22235-P9S/Q9gWspzp4NBST+Td3HdcLVU%22	https://www.tkogmission.org/robots.txt		(from )
13:50:14	10811/10811	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:14%20GMT	https://static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png	(from https://www.tkogmission.org/handouts)
13:50:14	1339/1339	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:14%20GMT	https://static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png	(from https://www.tkogmission.org/handouts)
13:50:15	7251/7251	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:14%20GMT	https://static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a~mv2.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/b62fc3_84a90f74facd4cf5b3c608747db0624a_mv2.png	(from https://www.tkogmission.org/handouts)
13:50:15	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.tkogmission.org/handouts)
13:50:15	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.tkogmission.org/handouts)
13:50:15	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.tkogmission.org/handouts)
